Series_Title,Overview,concatenated_text
The Shawshank Redemption,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,The Shawshank Redemption Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency
The Godfather,An organized crime dynastys aging patriarch transfers control of his clandestine empire to his reluctant son,The Godfather An organized crime dynastys aging patriarch transfers control of his clandestine empire to his reluctant son
The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice,The Dark Knight When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice
The Godfather Part II,The early life and career of Vito Corleone in s New York City is portrayed while his son Michael expands and tightens his grip on the family crime syndicate,The Godfather Part II The early life and career of Vito Corleone in s New York City is portrayed while his son Michael expands and tightens his grip on the family crime syndicate
Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence,Angry Men A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence
The Lord of the Rings The Return of the King,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring,The Lord of the Rings The Return of the King Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring
Pulp Fiction,The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption,Pulp Fiction The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption
Schindlers List,In Germanoccupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis,Schindlers List In Germanoccupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis
Inception,A thief who steals corporate secrets through the use of dreamsharing technology is given the inverse task of planting an idea into the mind of a CEO,Inception A thief who steals corporate secrets through the use of dreamsharing technology is given the inverse task of planting an idea into the mind of a CEO
Fight Club,An insomniac office worker and a devilmaycare soapmaker form an underground fight club that evolves into something much much more,Fight Club An insomniac office worker and a devilmaycare soapmaker form an underground fight club that evolves into something much much more
The Lord of the Rings The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middleearth from the Dark Lord Sauron,The Lord of the Rings The Fellowship of the Ring A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middleearth from the Dark Lord Sauron
Forrest Gump,The presidencies of Kennedy and Johnson the events of Vietnam Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of whose only desire is to be reunited with his childhood sweetheart,Forrest Gump The presidencies of Kennedy and Johnson the events of Vietnam Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of whose only desire is to be reunited with his childhood sweetheart
Il buono il brutto il cattivo,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery,Il buono il brutto il cattivo A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery
